Touch Area (mm²),Pressure (force),Age Group
139,0.75,Child
108,0.6,Child
527,2.76,Adult
580,2.86,Adult
315,1.46,Teen
328,1.64,Teen
606,2.94,Adult
605,2.95,Adult
243,1.11,Teen
497,2.53,Adult
107,0.46,Child
317,1.44,Teen
319,1.53,Teen
452,2.23,Adult
106,0.56,Child
528,2.72,Adult
77,0.38,Child
318,1.51,Teen
86,0.42,Child
593,2.99,Adult
95,0.49,Child
103,0.5,Child
271,1.24,Teen
645,3.11,Adult
284,1.53,Teen
262,1.39,Teen
316,1.73,Teen
587,3.06,Adult
237,1.1,Teen
268,1.45,Teen
117,0.62,Child
315,1.43,Teen
311,1.59,Teen
577,2.85,Adult
487,2.32,Adult
133,0.72,Child
138,0.66,Child
125,0.7,Child
548,2.74,Adult
324,1.57,Teen
525,2.55,Adult
84,0.42,Child
621,3.18,Adult
602,2.96,Adult
247,1.12,Teen
316,1.65,Teen
461,2.38,Adult
269,1.27,Teen
135,0.72,Child
86,0.45,Child
544,2.78,Adult
76,0.41,Child
263,1.4,Teen
134,0.73,Child
295,1.36,Teen
565,2.93,Adult
294,1.39,Teen
134,0.72,Child
236,1.14,Teen
328,1.73,Teen
314,1.67,Teen
330,1.61,Teen
303,1.47,Teen
120,0.66,Child
284,1.47,Teen
83,0.42,Child
230,1.1,Teen
269,1.38,Teen
105,0.57,Child
127,0.55,Child
73,0.35,Child
530,2.71,Adult
94,0.43,Child
317,1.61,Teen
625,3.11,Adult
600,3.03,Adult
271,1.46,Teen
86,0.4,Child
577,2.94,Adult
548,2.82,Adult
126,0.59,Child
561,2.7,Adult
250,1.25,Teen
278,1.33,Teen
274,1.44,Teen
503,2.54,Adult
611,2.98,Adult
267,1.27,Teen
500,2.48,Adult
246,1.23,Teen
138,0.74,Child
308,1.66,Teen
509,2.59,Adult
284,1.32,Teen
330,1.75,Teen
302,1.37,Teen
637,3.06,Adult
307,1.46,Teen
307,1.61,Teen
584,3.01,Adult
88,0.47,Child
106,0.6,Child
134,0.73,Child
494,2.42,Adult
239,1.28,Teen
92,0.49,Child
585,2.91,Adult
114,0.56,Child
584,2.83,Adult
329,1.75,Teen
80,0.35,Child
603,2.95,Adult
278,1.3,Teen
82,0.37,Child
73,0.35,Child
502,2.58,Adult
137,0.6,Child
315,1.58,Teen
114,0.6,Child
518,2.71,Adult
120,0.53,Child
543,2.58,Adult
472,2.45,Adult
471,2.29,Adult
512,2.6,Adult
269,1.43,Teen
103,0.48,Child
95,0.5,Child
299,1.46,Teen
298,1.6,Teen
102,0.54,Child
600,2.94,Adult
296,1.33,Teen
586,3.0,Adult
527,2.7,Adult
295,1.4,Teen
487,2.41,Adult
270,1.37,Teen
131,0.75,Child
113,0.57,Child
603,3.08,Adult
84,0.48,Child
562,2.85,Adult
556,2.78,Adult
245,1.19,Teen
90,0.46,Child
610,3.13,Adult
247,1.21,Teen
263,1.35,Teen
261,1.39,Teen
99,0.49,Child
285,1.39,Teen
236,1.21,Teen
128,0.64,Child
302,1.47,Teen
612,2.96,Adult
80,0.44,Child
138,0.71,Child
77,0.42,Child
286,1.39,Teen
280,1.49,Teen
499,2.55,Adult
82,0.37,Child
510,2.55,Adult
86,0.46,Child
70,0.35,Child
107,0.6,Child
479,2.46,Adult
133,0.71,Child
119,0.66,Child
290,1.4,Teen
118,0.63,Child
628,3.15,Adult
260,1.31,Teen
281,1.36,Teen
535,2.66,Adult
465,2.37,Adult
481,2.47,Adult
582,2.89,Adult
109,0.63,Child
329,1.61,Teen
238,1.23,Teen
631,3.24,Adult
490,2.41,Adult
135,0.67,Child
127,0.61,Child
232,1.16,Teen
230,1.23,Teen
582,2.89,Adult
111,0.57,Child
104,0.53,Child
118,0.64,Child
138,0.75,Child
122,0.68,Child
124,0.6,Child
94,0.43,Child
526,2.5,Adult
293,1.36,Teen
558,2.69,Adult
467,2.28,Adult
606,3.08,Adult
306,1.45,Teen
232,1.1,Teen
111,0.47,Child
526,2.75,Adult
476,2.3,Adult
118,0.66,Child
299,1.61,Teen
237,1.26,Teen
560,2.75,Adult
498,2.48,Adult
132,0.73,Child
507,2.61,Adult
239,1.16,Teen
283,1.33,Teen
122,0.62,Child
580,2.99,Adult
118,0.64,Child
625,3.01,Adult
273,1.26,Teen
114,0.65,Child
622,3.06,Adult
252,1.32,Teen
274,1.43,Teen
114,0.51,Child
76,0.38,Child
467,2.29,Adult
121,0.62,Child
476,2.47,Adult
525,2.52,Adult
70,0.35,Child
618,3.13,Adult
111,0.62,Child
471,2.39,Adult
251,1.19,Teen
99,0.44,Child
247,1.12,Teen
125,0.68,Child
317,1.72,Teen
239,1.1,Teen
503,2.58,Adult
541,2.83,Adult
253,1.38,Teen
90,0.4,Child
586,2.81,Adult
123,0.63,Child
330,1.5,Teen
494,2.54,Adult
120,0.53,Child
247,1.28,Teen
451,2.3,Adult
251,1.24,Teen
493,2.54,Adult
261,1.23,Teen
330,1.64,Teen
130,0.61,Child
107,0.5,Child
125,0.65,Child
130,0.61,Child
315,1.58,Teen
453,2.2,Adult
232,1.25,Teen
539,2.76,Adult
284,1.31,Teen
597,3.09,Adult
301,1.4,Teen
236,1.11,Teen
242,1.33,Teen
604,3.04,Adult
550,2.83,Adult
621,3.14,Adult
237,1.16,Teen
632,3.13,Adult
263,1.36,Teen
77,0.43,Child
624,3.07,Adult
493,2.48,Adult
307,1.45,Teen
118,0.57,Child
116,0.54,Child
99,0.49,Child
129,0.6,Child
479,2.35,Adult
80,0.36,Child
563,2.76,Adult
329,1.69,Teen
239,1.27,Teen
302,1.52,Teen
231,1.1,Teen
87,0.44,Child
308,1.64,Teen
116,0.56,Child
119,0.58,Child
554,2.9,Adult
582,2.91,Adult
518,2.52,Adult
539,2.67,Adult
84,0.38,Child
91,0.52,Child
292,1.53,Teen
505,2.57,Adult
292,1.4,Teen
279,1.3,Teen
244,1.28,Teen
638,3.06,Adult
125,0.68,Child
482,2.38,Adult
573,2.8,Adult
293,1.61,Teen
536,2.58,Adult
269,1.41,Teen
629,3.13,Adult
94,0.44,Child
264,1.44,Teen
491,2.55,Adult
503,2.52,Adult
630,3.27,Adult
305,1.43,Teen
77,0.44,Child
624,3.13,Adult
505,2.6,Adult
114,0.59,Child
283,1.36,Teen
297,1.59,Teen
450,2.34,Adult
80,0.38,Child
135,0.72,Child
108,0.49,Child
87,0.42,Child
81,0.39,Child
325,1.55,Teen
580,2.84,Adult
263,1.24,Teen
490,2.42,Adult
575,2.9,Adult
557,2.67,Adult
258,1.25,Teen
139,0.73,Child
486,2.31,Adult
123,0.65,Child
465,2.28,Adult
546,2.72,Adult
309,1.5,Teen
311,1.47,Teen
108,0.46,Child
458,2.4,Adult
280,1.47,Teen
534,2.61,Adult
499,2.38,Adult
589,2.97,Adult
127,0.7,Child
130,0.64,Child
626,3.27,Adult
86,0.41,Child
251,1.18,Teen
564,2.75,Adult
257,1.39,Teen
309,1.59,Teen
632,3.24,Adult
300,1.52,Teen
460,2.32,Adult
306,1.55,Teen
94,0.47,Child
531,2.75,Adult
559,2.92,Adult
243,1.31,Teen
93,0.45,Child
309,1.62,Teen
140,0.68,Child
78,0.41,Child
134,0.69,Child
87,0.44,Child
556,2.82,Adult
455,2.31,Adult
310,1.57,Teen
123,0.53,Child
625,3.2,Adult
76,0.38,Child
254,1.27,Teen
318,1.7,Teen
130,0.63,Child
290,1.47,Teen
580,2.94,Adult
88,0.46,Child
246,1.18,Teen
593,2.89,Adult
594,2.9,Adult
111,0.61,Child
83,0.43,Child
637,3.3,Adult
125,0.67,Child
558,2.71,Adult
103,0.59,Child
459,2.21,Adult
527,2.63,Adult
119,0.53,Child
98,0.49,Child
105,0.51,Child
97,0.46,Child
73,0.42,Child
78,0.41,Child
636,3.24,Adult
261,1.33,Teen
139,0.61,Child
93,0.41,Child
248,1.14,Teen
114,0.58,Child
506,2.44,Adult
299,1.38,Teen
518,2.57,Adult
104,0.45,Child
291,1.35,Teen
501,2.56,Adult
477,2.32,Adult
531,2.59,Adult
629,3.0,Adult
630,3.17,Adult
545,2.6,Adult
72,0.35,Child
268,1.41,Teen
130,0.63,Child
561,2.88,Adult
90,0.41,Child
623,3.03,Adult
105,0.59,Child
649,3.24,Adult
325,1.54,Teen
549,2.72,Adult
269,1.38,Teen
263,1.19,Teen
587,2.95,Adult
549,2.88,Adult
470,2.46,Adult
259,1.35,Teen
249,1.31,Teen
98,0.48,Child
100,0.46,Child
89,0.44,Child
120,0.59,Child
546,2.72,Adult
70,0.35,Child
140,0.6,Child
96,0.44,Child
292,1.5,Teen
292,1.57,Teen
77,0.41,Child
101,0.51,Child
544,2.76,Adult
241,1.2,Teen
250,1.31,Teen
465,2.27,Adult
470,2.3,Adult
86,0.38,Child
77,0.36,Child
70,0.38,Child
484,2.39,Adult
94,0.42,Child
495,2.48,Adult
262,1.24,Teen
97,0.54,Child
590,3.03,Adult
77,0.35,Child
99,0.53,Child
248,1.2,Teen
94,0.44,Child
74,0.36,Child
291,1.47,Teen
561,2.74,Adult
290,1.56,Teen
294,1.52,Teen
580,2.94,Adult
455,2.23,Adult
485,2.5,Adult
295,1.48,Teen
139,0.59,Child
84,0.4,Child
466,2.3,Adult
506,2.51,Adult
308,1.65,Teen
78,0.4,Child
274,1.3,Teen
511,2.66,Adult
469,2.41,Adult
572,2.89,Adult
302,1.6,Teen
139,0.66,Child
548,2.73,Adult
116,0.61,Child
648,3.3,Adult
83,0.39,Child
127,0.64,Child
487,2.38,Adult
467,2.42,Adult
505,2.56,Adult
241,1.26,Teen
102,0.56,Child
246,1.27,Teen
464,2.32,Adult
639,3.14,Adult
315,1.64,Teen
498,2.46,Adult
113,0.61,Child
569,2.77,Adult
239,1.25,Teen
312,1.66,Teen
330,1.67,Teen
548,2.84,Adult
466,2.28,Adult
596,2.91,Adult
124,0.65,Child
129,0.62,Child
317,1.71,Teen
483,2.39,Adult
91,0.49,Child
587,2.96,Adult
623,3.1,Adult
247,1.35,Teen
98,0.53,Child
330,1.7,Teen
474,2.47,Adult
330,1.75,Teen
87,0.47,Child
235,1.24,Teen
643,3.3,Adult
582,2.98,Adult
608,2.89,Adult
529,2.7,Adult
589,2.86,Adult
559,2.78,Adult
80,0.44,Child
643,3.08,Adult
294,1.59,Teen
512,2.54,Adult
268,1.25,Teen
297,1.5,Teen
451,2.25,Adult
509,2.43,Adult
137,0.66,Child
249,1.29,Teen
617,2.97,Adult
97,0.52,Child
493,2.56,Adult
616,2.99,Adult
86,0.48,Child
564,2.86,Adult
588,2.87,Adult
496,2.49,Adult
130,0.73,Child
473,2.44,Adult
518,2.59,Adult
106,0.6,Child
71,0.39,Child
311,1.62,Teen
304,1.38,Teen
321,1.61,Teen
287,1.49,Teen
79,0.36,Child
536,2.62,Adult
623,3.18,Adult
256,1.2,Teen
134,0.61,Child
288,1.47,Teen
89,0.41,Child
310,1.52,Teen
103,0.5,Child
85,0.47,Child
114,0.59,Child
294,1.51,Teen
578,2.97,Adult
239,1.14,Teen
322,1.63,Teen
80,0.45,Child
257,1.37,Teen
81,0.43,Child
233,1.18,Teen
96,0.55,Child
565,2.94,Adult
546,2.72,Adult
251,1.19,Teen
75,0.4,Child
594,3.04,Adult
326,1.59,Teen
527,2.51,Adult
552,2.72,Adult
616,3.11,Adult
498,2.52,Adult
79,0.44,Child
566,2.88,Adult
249,1.17,Teen
616,3.13,Adult
85,0.39,Child
233,1.1,Teen
123,0.59,Child
80,0.38,Child
546,2.74,Adult
82,0.41,Child
106,0.56,Child
100,0.53,Child
633,3.2,Adult
125,0.62,Child
328,1.49,Teen
459,2.25,Adult
517,2.68,Adult
86,0.41,Child
122,0.53,Child
329,1.61,Teen
629,3.06,Adult
552,2.68,Adult
457,2.35,Adult
320,1.64,Teen
316,1.46,Teen
281,1.49,Teen
323,1.63,Teen
277,1.51,Teen
104,0.5,Child
314,1.6,Teen
329,1.75,Teen
572,2.88,Adult
95,0.51,Child
97,0.42,Child
114,0.63,Child
260,1.21,Teen
129,0.62,Child
321,1.48,Teen
296,1.44,Teen
526,2.75,Adult
262,1.3,Teen
299,1.57,Teen
111,0.51,Child
298,1.64,Teen
257,1.33,Teen
455,2.35,Adult
292,1.6,Teen
116,0.58,Child
328,1.51,Teen
599,2.88,Adult
279,1.53,Teen
298,1.43,Teen
644,3.27,Adult
138,0.64,Child
505,2.42,Adult
283,1.55,Teen
92,0.44,Child
472,2.32,Adult
485,2.33,Adult
561,2.75,Adult
122,0.59,Child
271,1.37,Teen
108,0.58,Child
94,0.45,Child
234,1.1,Teen
593,2.94,Adult
76,0.39,Child
111,0.49,Child
112,0.53,Child
454,2.21,Adult
489,2.36,Adult
269,1.45,Teen
117,0.63,Child
458,2.38,Adult
114,0.51,Child
129,0.73,Child
235,1.21,Teen
324,1.74,Teen
537,2.65,Adult
263,1.42,Teen
282,1.35,Teen
117,0.65,Child
130,0.66,Child
111,0.59,Child
509,2.64,Adult
83,0.46,Child
516,2.51,Adult
525,2.75,Adult
314,1.52,Teen
642,3.05,Adult
573,2.81,Adult
305,1.5,Teen
620,2.98,Adult
511,2.67,Adult
131,0.73,Child
264,1.4,Teen
320,1.75,Teen
292,1.49,Teen
647,3.12,Adult
520,2.63,Adult
475,2.39,Adult
564,2.9,Adult
473,2.28,Adult
299,1.49,Teen
302,1.58,Teen
258,1.37,Teen
78,0.43,Child
248,1.35,Teen
269,1.4,Teen
83,0.41,Child
234,1.21,Teen
262,1.3,Teen
574,2.96,Adult
626,3.22,Adult
514,2.48,Adult
307,1.55,Teen
314,1.47,Teen
106,0.53,Child
648,3.23,Adult
111,0.58,Child
117,0.66,Child
297,1.59,Teen
247,1.28,Teen
315,1.53,Teen
288,1.55,Teen
457,2.36,Adult
523,2.71,Adult
561,2.82,Adult
547,2.65,Adult
235,1.22,Teen
319,1.5,Teen
644,3.08,Adult
552,2.85,Adult
287,1.5,Teen
491,2.42,Adult
328,1.62,Teen
307,1.47,Teen
457,2.22,Adult
86,0.43,Child
593,2.86,Adult
88,0.45,Child
82,0.42,Child
310,1.54,Teen
282,1.3,Teen
650,3.1,Adult
75,0.35,Child
621,2.98,Adult
322,1.57,Teen
306,1.4,Teen
76,0.35,Child
107,0.52,Child
575,3.0,Adult
251,1.3,Teen
269,1.25,Teen
296,1.37,Teen
105,0.46,Child
76,0.37,Child
277,1.41,Teen
564,2.75,Adult
545,2.77,Adult
77,0.35,Child
472,2.33,Adult
111,0.6,Child
551,2.7,Adult
125,0.66,Child
584,2.9,Adult
246,1.34,Teen
594,2.9,Adult
85,0.41,Child
91,0.45,Child
294,1.59,Teen
98,0.54,Child
93,0.41,Child
103,0.47,Child
233,1.19,Teen
257,1.26,Teen
521,2.56,Adult
604,2.99,Adult
597,2.89,Adult
262,1.43,Teen
542,2.63,Adult
117,0.55,Child
314,1.58,Teen
594,3.11,Adult
636,3.23,Adult
277,1.49,Teen
129,0.57,Child
121,0.58,Child
103,0.52,Child
328,1.51,Teen
320,1.67,Teen
319,1.68,Teen
552,2.82,Adult
557,2.88,Adult
491,2.49,Adult
72,0.41,Child
124,0.56,Child
617,3.23,Adult
99,0.53,Child
321,1.53,Teen
105,0.51,Child
545,2.62,Adult
609,2.95,Adult
506,2.47,Adult
97,0.51,Child
76,0.37,Child
238,1.2,Teen
512,2.53,Adult
236,1.25,Teen
556,2.69,Adult
103,0.47,Child
307,1.56,Teen
552,2.71,Adult
467,2.33,Adult
108,0.52,Child
620,3.16,Adult
305,1.44,Teen
492,2.36,Adult
329,1.75,Teen
264,1.2,Teen
239,1.28,Teen
122,0.62,Child
139,0.74,Child
236,1.1,Teen
241,1.31,Teen
274,1.26,Teen
608,2.98,Adult
89,0.38,Child
257,1.27,Teen
104,0.54,Child
304,1.61,Teen
592,3.1,Adult
76,0.36,Child
101,0.56,Child
489,2.49,Adult
270,1.34,Teen
133,0.65,Child
122,0.62,Child
547,2.79,Adult
328,1.71,Teen
250,1.17,Teen
283,1.28,Teen
286,1.35,Teen
263,1.21,Teen
324,1.52,Teen
598,2.91,Adult
81,0.36,Child
249,1.27,Teen
300,1.58,Teen
122,0.53,Child
122,0.63,Child
293,1.55,Teen
620,3.1,Adult
281,1.34,Teen
248,1.15,Teen
117,0.61,Child
101,0.53,Child
109,0.6,Child
548,2.86,Adult
324,1.53,Teen
239,1.14,Teen
457,2.25,Adult
138,0.61,Child
92,0.5,Child
511,2.65,Adult
631,3.09,Adult
618,3.11,Adult
638,3.3,Adult
608,3.13,Adult
636,3.29,Adult
625,2.99,Adult
315,1.64,Teen
549,2.61,Adult
465,2.26,Adult
544,2.68,Adult
637,3.15,Adult
